"forecast_summary","today_comment","tomorrow_comment","extended_comment","forecast_summary_es","today_comment_es","tomorrow_comment_es","extended_comment_es"
"Expect haze and spikes into MODERATE later in afternoon","Light smoke by late afternoon","Light haze","","Espere neblina y aumentos a MODERADA más tarde en la tarde.","Humo ligero para el final de la tarde.","Ligera neblina",""
"Morning smoke with general clearing, but expect haze to remain","GOOD conditions all day expected","Haze today","","Humo matutino, con despeje general, pero se espera que la bruma permanezca.","Se esperan condiciones BUENAS todo el día.","Bruma hoy",""
"SW winds will keep smoke from pooling in this area","Hazy today","Light haze","","Los vientos del suroeste evitarán que el humo se acumule en esta área.","Brumoso hoy","Ligera bruma",""
"Winds shifting from the SW in late morning could impair AQI in this community today","GOOD to MODERATE today","SW winds continue to move smoke into this area","","Los vientos que cambian desde el suroeste a última hora de la mañana podrían afectar el Índice de Calidad del Aire (AQI) en esta comunidad hoy.","BUENO a MODERADA hoy.","Los vientos del suroeste continúan moviendo humo hacia esta área.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible bruma ligera","El AQI BUENO continúa",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible bruma ligera","El AQI BUENO continuará.",""
"NE to SW air flow should minimize smoke impacts until later in day","Smoke may increase by mid afternoon","SW flow should keep smoke at minimum today","","El flujo de aire de NE a SW debería minimizar los impactos del humo hasta más tarde en el día.","El humo puede aumentar a media tarde.","El flujo del suroeste debería mantener el humo al mínimo hoy.",""
"Noticeable smoke, some improvement late afternoon.","Smoky to start the day. A few hours of better air are expected in the evening","UNHEALTHY conditions in the morning, should increase slowly into late afternoon","Smoke likely to be in the air this weekend.","Humo notable, alguna mejora a última hora de la tarde.","Ahumado para comenzar el día. Se esperan unas horas de mejor calidad del aire en la tarde.","Condiciones INSALUBRES por la mañana, deberían aumentar lentamente hacia el final de la tarde.","Es probable que haya humo en el aire este fin de semana."
"N-NE winds will keep this area relatively clear of smoke impairments today","GOOD expected today","Continued GOOD","Haze should increase as winds shift from the W-SW","Los vientos N-NE mantendrán esta área relativamente libre de deterioros por humo hoy.","Se espera BUENO hoy.","Continuado BUENO","La neblina debería aumentar a medida que los vientos cambian del O-SO."
"This area may see light smoke later in the afternoon","Light smoke by late afternoon","Light haze","Conditions should improve","Esta área puede ver humo ligero más tarde en la tarde.","Humo ligero para el final de la tarde.","Ligera neblina","Las condiciones deberían mejorar."
"Smoke today will affect this community later in the afternoon","Smoke should increase in the afternoon","Expect MODERATE later in the day","","El humo hoy afectará a esta comunidad más tarde en la tarde.","El humo debería aumentar en la tarde.","Espere calidad del aire MODERADA más tarde en el día.",""
"NE flow should minimize smoke impacts until later in day","Smoke will increase by mid afternoon","Similar pattern from previous day - smoke continuing","","El flujo del noreste debería minimizar los impactos del humo hasta más tarde en el día.","El humo aumentará a media tarde.","Patrón similar al día anterior - el humo continúa.",""
"Smoke should increase mid-afternoon","Winds could continue to push smoke down valley","Similar smoke pattern from previous day","Smoke production should decrease as conditions improve","El humo debería aumentar a media tarde.","Los vientos podrían continuar empujando el humo hacia abajo del valle.","Patrón de humo similar al día anterior.","La producción de humo debería disminuir a medida que las condiciones mejoren."
"Smoke could channel directly toward this community with NE winds","Should see MODERATE but could push toward USG later in day","Winds will decrease, possibly reducing smoke impacts","","El humo podría canalizarse directamente hacia esta comunidad con vientos del NE.","Deberíamos ver una calidad del aire MODERADA, pero podría acercarse a IGS más tarde en el día.","Los vientos disminuirán, posiblemente reduciendo los impactos del humo.",""
"Conditions should stay in GOOD AQI today","Light haze possible","Wind shift out of SW may produce smoke increases","","Las condiciones deberían mantenerse en AQI BUENO hoy.","Posible neblina ligera","El cambio de viento del suroeste puede producir aumentos de humo.",""
"Smoke could increase mid-afternoon","Winds could continue to push smoke down valley","Possible MODERATE early then clearing","","El humo podría aumentar a media tarde.","Los vientos podrían continuar empujando el humo hacia abajo del valle.","Posiblemente MODERADA al principio y luego despejando.",""
"N-NE winds will keep this area relatively clear of smoke impairments today","GOOD expected today with NE winds prevalent","Wind shifts late morning out of the SW may diminish AQI","","Los vientos del N-NE mantendrán esta área relativamente libre de deterioros por humo hoy.","Se espera BUENO hoy con vientos predominantes del NE.","Los cambios de viento a última hora de la mañana desde el suroeste pueden disminuir el Índice de Calidad del Aire (AQI).",""
"NE winds will keep the AQI in MODERATE to USG today","Should see MODERATE but could push toward USG later in evening","Wind shift to the NE should begin to clear the smoke","","Los vientos del NE mantendrán el Índice de Calidad del Aire (AQI) en MODERADA a IGS hoy.","Deberíamos ver calidad de aire MODERADA pero podría acercarse a IGS más tarde en la noche.","El cambio de viento hacia el NE debería comenzar a despejar el humo.",""
"NE winds will keep the AQI in MODERATE to USG today","Should see MODERATE but could push toward USG later in evening","Wind shift to the NE should begin to clear the smoke","","Los vientos del noreste mantendrán el Índice de Calidad del Aire (AQI) de MODERADO a IGS hoy.","Deberíamos ver una calidad de aire MODERADA pero podría acercarse a IGS más tarde en la noche.","El cambio de viento hacia el noreste debería comenzar a despejar el humo.",""
"GOOD air quality for the foreseeable future.","","","","Calidad del aire BUENA para el futuro previsible.","","",""
"GOOD air quality for the foreseeable future.","","","","Calidad del aire BUENA para el futuro previsible.","","",""
"NE to SW air flow should minimize smoke impacts until later in day","Smoke may increase by mid afternoon","SW flow should keep smoke at minimum today","","El flujo de aire de noreste a suroeste debería minimizar los impactos del humo hasta más tarde en el día.","El humo puede aumentar a media tarde.","El flujo del suroeste debería mantener el humo al mínimo hoy.",""
"Smoke could increase mid-afternoon","Winds could continue to push smoke down valley","Possible MODERATE early then clearing","","El humo podría aumentar a media tarde.","Los vientos podrían continuar empujando el humo hacia abajo del valle.","Posiblemente MODERADA al principio y luego despejando.",""
"Conditions should stay in GOOD AQI today","Light haze possible","Wind shift out of SW may produce smoke increases","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible bruma ligera","El cambio de viento del suroeste puede producir aumentos de humo.",""
"N-NE winds will keep this area relatively clear of smoke impairments today","GOOD expected today with NE winds prevalent","Wind shifts late morning out of the SW may diminish AQI","","Los vientos del norte-noreste mantendrán esta área relativamente libre de deterioros por humo hoy.","Se espera BUENO hoy con vientos predominantes del noreste.","Los cambios de viento a última hora de la mañana desde el suroeste pueden disminuir el Índice de Calidad del Aire (AQI).",""
"Expect haze and spikes into MODERATE later in afternoon","Light smoke by late afternoon","Light haze","","Se espera bruma y picos a MODERADA más tarde en la tarde.","Humo ligero para el final de la tarde.","Bruma ligera",""
"Expect relatively clear skies with some haze","GOOD conditions all day expected","Haze today","","Espere cielos relativamente despejados con algo de neblina.","Se esperan condiciones BUENAS durante todo el día.","Neblina hoy.",""
"Shift to SW airflow will move smoke clear of this area","SW air movement will keep this area clear of smoke impacts","SW flow should keep smoke at minimum today","","El cambio a un flujo de aire del suroeste moverá el humo fuera de esta área.","El movimiento del aire del suroeste mantendrá esta área libre de impactos de humo.","El flujo del suroeste debería mantener el humo al mínimo hoy.",""
"Expect MODERATE today as residual smoke gradually clears the area with new SW airflow","AQI will swing between GOOD and MODERATE ","Expect MODERATE to GOOD","","Espere calidad del aire MODERADA hoy mientras el humo residual se disipa gradualmente del área con la nueva corriente de aire del suroeste.","El AQI oscilará entre BUENO y MODERADA.","Espere de MODERADA a BUENO",""
"Winds shifting from the SW could impair AQI in this community today","MODERATE possible with GOOD in early AM","SW winds continue to move smoke into this area","","Los vientos que cambian desde el suroeste podrían afectar el Índice de Calidad del Aire (AQI) en esta comunidad hoy.","MODERADA posible con BUENO en la madrugada.","Los vientos del suroeste continúan moviendo humo hacia esta área.",""
"Conditions should stay in GOOD AQI today","Light haze possible","Wind shift out of SW may produce hazy conditions","","Las condiciones deberían mantenerse en AQI BUENO hoy.","Posible neblina ligera","El cambio de viento proveniente del suroeste puede producir condiciones de neblina.",""
"SW winds will keep smoke from pooling in this area","Hazy today","Light haze","","Los vientos del suroeste evitarán que el humo se acumule en esta área.","Brumoso hoy.","Ligera neblina",""
"Shift to SW airflow will move smoke clear of this area","SW air movement will keep this area clear of smoke impacts","SW flow should keep smoke at minimum today","","El cambio a un flujo de aire del suroeste moverá el humo fuera de esta área.","El movimiento del aire del suroeste mantendrá esta área libre de impactos de humo.","El flujo del suroeste debería mantener el humo al mínimo hoy.",""
"Expect MODERATE today as residual smoke gradually clears the area with new SW airflow","AQI will swing between GOOD and MODERATE ","Expect MODERATE to GOOD","","Se espera una calidad del aire MODERADA hoy mientras el humo residual se disipa gradualmente del área con la nueva corriente de aire del suroeste.","El AQI oscilará entre BUENO y MODERADO.","Se espera de MODERADO a BUENO",""
"Winds shifting from the SW could impair AQI in this community today","MODERATE possible with GOOD in early AM","SW winds continue to move smoke into this area","","Los vientos que cambian desde el suroeste podrían afectar el Índice de Calidad del Aire (AQI) en esta comunidad hoy.","MODERADO posiblemente, con BUENO en la madrugada.","Los vientos del suroeste continúan moviendo humo hacia esta área.",""
"Conditions should stay in GOOD AQI today","Light haze possible","Wind shift out of SW may produce hazy conditions","","Las condiciones deberían mantenerse en AQI BUENO hoy.","Posible bruma ligera","El cambio de viento proveniente del suroeste puede producir condiciones brumosas.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible neblina ligera","El AQI BUENO continúa",""
"Continued GOOD conditions most of the day with occasional MODERATE","SW air movement will keep this area clear of smoke impacts","GOOD expected again today","","Continuas condiciones BUENAS la mayor parte del día con ocasionalmente MODERADA","El movimiento del aire del suroeste mantendrá esta área libre de impactos de humo.","Se espera BUENO nuevamente hoy.",""
"SW winds will keep smoke from pooling in this area","Hazy today","Light haze","","Los vientos del suroeste evitarán que el humo se acumule en esta área.","Brumoso hoy","Ligera neblina",""
"Morning smoke with general clearing, but expect haze to remain","GOOD conditions all day expected","Haze today","","Humo matutino con despeje general, pero se espera que la neblina permanezca.","Se esperan condiciones BUENAS todo el día.","Neblina hoy",""
"Winds shifting from the SW in late morning could impair AQI in this community today","GOOD to MODERATE today","SW winds continue to move smoke into this area","","Los vientos que cambian del suroeste a última hora de la mañana podrían afectar la calidad del aire en esta comunidad hoy.","BUENO a MODERADA hoy.","Los vientos del suroeste continúan moviendo humo hacia esta área.",""
"Expect MODERATE again today with occasional late afternoon peaks into USG","MODERATE primarily with some spiking into USG","Reduced smoke output from Shoe Fire will begin to improve conditions ","","Espere calidad del aire MODERADA nuevamente hoy con picos ocasionales en la tarde hacia IGS.","MODERADA principalmente con algunos picos en IGS.","La reducción de la emisión de humo del Incendio Shoe comenzará a mejorar las condiciones.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible neblina ligera","El AQI BUENO continúa",""
"SW winds will keep smoke from pooling in this area","Hazy today","Light haze","","Los vientos del suroeste evitarán que el humo se acumule en esta área.","Brumoso hoy","Ligera neblina",""
"Winds shifting from the SW in late morning could impair AQI in this community today","GOOD to MODERATE today","SW winds continue to move smoke into this area","","Los vientos que cambian desde el suroeste a última hora de la mañana podrían afectar el Índice de Calidad del Aire (AQI) en esta comunidad hoy.","BUENO a MODERADA hoy.","Los vientos del suroeste continúan moviendo humo hacia esta área.",""
"Expect MODERATE again today with occasional late afternoon peaks into USG","MODERATE primarily with some spiking into USG","Reduced smoke output from Shoe Fire will begin to improve conditions ","","Espere MODERADA nuevamente hoy con picos ocasionales en la tarde hacia IGS.","MODERADA principalmente con algunos picos en IGS.","La reducción de la emisión de humo del Incendio Shoe comenzará a mejorar las condiciones.",""
"Morning smoke with general clearing, but expect haze to remain","GOOD conditions all day expected","Haze today","","Humo matutino con despeje general, pero se espera que la neblina permanezca.","Se esperan condiciones BUENAS todo el día.","Neblina hoy",""
"Continued GOOD conditions most of the day with occasional MODERATE","SW air movement will keep this area clear of smoke impacts","GOOD expected again today","","Condiciones BUENAS continuas durante la mayor parte del día con ocasionalmente MODERADA","El movimiento del aire del suroeste mantendrá esta área libre de impactos de humo.","Se espera BUENO nuevamente hoy.",""
"Continued GOOD conditions most of the day with occasional MODERATE","SW air movement will keep this area clear of smoke impacts","GOOD expected again today","","Condiciones BUENAS continúan durante la mayor parte del día, ocasionalmente MODERADAS.","El movimiento del aire del suroeste mantendrá esta área libre de impactos de humo.","Se espera sea BUENO nuevamente hoy.",""
"Expect MODERATE again today with occasional late afternoon peaks into USG","MODERATE primarily with some spiking into USG","Reduced smoke output from Shoe Fire will begin to improve conditions ","","Se espera MODERADO nuevamente hoy con picos ocasionales en la tarde hacia IGS.","MODERADO principalmente con algunos picos en IGS.","La reducción en las emisiones de humo del Incendio Shoe comenzará a mejorar las condiciones.",""
"Continued GOOD conditions most of the day with occasional MODERATE","SW air movement will keep this area clear of smoke impacts","GOOD expected again today","","Continuas condiciones BUENAS la mayor parte del día con ocasionalmente MODERADA","El movimiento del aire del suroeste mantendrá esta área libre de impactos de humo.","Se espera BUENO nuevamente hoy.",""
"SW winds will keep smoke from pooling in this area","Hazy today","Light haze","","Los vientos del SO evitarán que el humo se acumule en esta área.","Brumoso hoy","Ligera neblina",""
"Morning smoke with general clearing, but expect haze to remain","GOOD conditions all day expected","Haze today","","Humo matutino con despeje general, pero se espera que la neblina permanezca.","Se esperan condiciones BUENAS durante todo el día.","Neblina hoy",""
"Winds shifting from the SW in late morning could impair AQI in this community today","GOOD to MODERATE today","SW winds continue to move smoke into this area","","Los vientos que cambian desde el suroeste a última hora de la mañana podrían afectar el Índice de Calidad del Aire (AQI) en esta comunidad hoy.","BUENO a MODERADA hoy.","Los vientos del suroeste continúan moviendo humo hacia esta área.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible neblina ligera","La calidad del aire BUENO continúa.",""
"Expect MODERATE again today with occasional late afternoon peaks into USG","MODERATE primarily with some spiking into USG","Reduced smoke output from Shoe Fire will begin to improve conditions ","","Espere MODERADA nuevamente hoy con picos ocasionales en la tarde hacia IGS.","MODERADA principalmente con algunos picos en IGS.","La reducción de la emisión de humo del Incendio Shoe comenzará a mejorar las condiciones.",""
"Continued GOOD conditions most of the day with occasional MODERATE","SW air movement will keep this area clear of smoke impacts","GOOD expected again today","","Continúan las condiciones BUENAS la mayor parte del día, ocasionalmente MODERADAS","El movimiento del aire del suroeste mantendrá esta área libre de impactos de humo.","Se espera BUENO nuevamente hoy.",""
"Expect MODERATE again today with occasional late afternoon peaks into USG","MODERATE primarily with some spiking into USG","Reduced smoke output from Shoe Fire will begin to improve conditions ","","Se espera sea MODERADO nuevamente hoy con picos ocasionales en la tarde hacia IGS.","MODERADO principalmente con algunos picos en IGS.","La reducción en las emisiones de humo del Incendio Shoe comenzará a mejorar las condiciones.",""
"SW winds will keep smoke from pooling in this area","Hazy today","Light haze","","Los vientos del suroeste evitarán que el humo se acumule en esta área.","Brumoso hoy","Ligera bruma",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible bruma ligera","La calidad del aire BUENA continúa.",""
"Morning smoke with general clearing, but expect haze to remain","GOOD conditions all day expected","Haze today","","Humo matutino, despeje general, pero se espera que la bruma permanezca.","Se esperan condiciones BUENAS durante todo el día.","Bruma hoy",""
"Winds shifting from the SW in late morning could impair AQI in this community today","GOOD to MODERATE today","SW winds continue to move smoke into this area","","Los vientos que cambian desde el suroeste a última hora de la mañana podrían afectar el Índice de Calidad del Aire (AQI) en esta comunidad hoy.","BUENO a MODERADO hoy.","Los vientos del suroeste continúan moviendo humo hacia esta área.",""
"Expect light smoke from limited fire activity on Shoe Fire","Hazy conditions with possible MODERATE","N-NW-NE winds will keep smoke out of this area","","Espere humo ligero debido a actividad limitada de fuego en el incendio de Shoe.","Condiciones brumosas con posible calidad del aire MODERADA.","Los vientos N-NW-NE mantendrán el humo fuera de esta área.",""
"SW winds will continue to keep this community in GOOD","Hazy today","Light haze","","Los vientos del suroeste continuarán manteniendo esta comunidad en BUENO.","Brumoso hoy","Ligera neblina",""
"Continued GOOD conditions most of the day ","Light haze today","GOOD expected again today","","Condiciones BUENAS continuas durante la mayor parte del día.","Ligera neblina hoy.","Se espera BUENO nuevamente hoy.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible neblina ligera","La calidad del aire BUENO continúa.",""
"Hazy conditions today, possible smoke impacts from SW","GOOD conditions most of the day","Haze today","","Condiciones brumosas hoy, posibles impactos de humo desde el suroeste.","Condiciones BUENAS la mayor parte del día.","Neblina hoy",""
"Mostly GOOD with occasional MODERATE late tonight","GOOD expected for most of the day","Possible smoke impacts with wind out of the N today","","Mayormente BUENO con ocasional MODERADA tarde en la noche.","BUENO se espera durante la mayor parte del día.","Posibles impactos de humo con viento del N hoy.",""
"Continued GOOD conditions most of the day ","Light haze today","GOOD expected again today","","Condiciones BUENAS continuas durante la mayor parte del día.","Ligera bruma hoy.","Se espera BUENO nuevamente hoy.",""
"SW winds will continue to keep this community in GOOD","Hazy today","Light haze","","Los vientos del suroeste continuarán manteniendo esta comunidad en BUENO.","Brumoso hoy","Ligera bruma",""
"Hazy conditions today, possible smoke impacts from SW","GOOD conditions most of the day","Haze today","","Condiciones brumosas hoy, posibles impactos de humo desde el suroeste.","Condiciones BUENAS la mayor parte del día.","Bruma hoy",""
"GOOD air quality for the foreseeable future.","","","","Calidad del aire BUENA para el futuro previsible.","","",""
"Expect light smoke from limited fire activity on Shoe Fire","Hazy conditions with possible MODERATE","N-NW-NE winds will keep smoke out of this area","","Se espera humo ligero debido a actividad limitada de fuego en el incendio Shoe.","Condiciones brumosas con posible calidad del aire MODERADA.","Los vientos norte-noroeste-noreste mantendrán el humo fuera de esta área.",""
"Mostly GOOD with occasional MODERATE late tonight","GOOD expected for most of the day","Possible smoke impacts with wind out of the N today","","Mayormente BUENO con ocasional MODERADO tarde en la noche.","Se espera BUENO durante la mayor parte del día.","Posibles impactos de humo con viento del norte hoy.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible bruma ligera","La calidad del aire BUENA continúa.",""
"Continued GOOD conditions most of the day ","Light haze today","GOOD expected again today","","Condiciones BUENAS continuas durante la mayor parte del día.","Ligera neblina hoy.","Se espera BUENO nuevamente hoy.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en AQI BUENO hoy.","Posible neblina ligera","El AQI BUENO continúa.",""
"SW winds will continue to keep this community in GOOD","Hazy today","Light haze","","Los vientos del suroeste continuarán manteniendo esta comunidad en BUENO.","Brumoso hoy","Ligera neblina",""
"Expect light smoke from limited fire activity on Shoe Fire","Hazy conditions with possible MODERATE","N-NW-NE winds will keep smoke out of this area","","Espere humo ligero debido a actividad limitada de fuego en el Incendio Shoe.","Condiciones brumosas con posible calidad del aire MODERADA.","Los vientos N-NW-NE mantendrán el humo fuera de esta área.",""
"Hazy conditions today, possible smoke impacts from SW","GOOD conditions most of the day","Haze today","","Condiciones brumosas hoy, posibles impactos de humo desde el suroeste.","Condiciones BUENAS la mayor parte del día.","Neblina hoy",""
"Mostly GOOD with occasional MODERATE late tonight","GOOD expected for most of the day","Possible smoke impacts with wind out of the N today","","Mayormente BUENO con ocasional MODERADA tarde en la noche.","Se espera BUENO durante la mayor parte del día.","Posibles impactos de humo con viento del N hoy.",""
"Continued GOOD conditions most of the day ","Light haze today","GOOD expected again today","","Condiciones BUENAS continuas durante la mayor parte del día.","Ligera bruma hoy.","Se espera BUENO nuevamente hoy.",""
"Hazy conditions today, possible smoke impacts from SW","GOOD conditions most of the day","Haze today","","Condiciones brumosas hoy, posibles impactos de humo desde el suroeste.","Condiciones BUENAS la mayor parte del día.","Bruma hoy",""
"SW winds will continue to keep this community in GOOD","Hazy today","Light haze","","Los vientos del suroeste continuarán manteniendo esta comunidad en BUENO.","Brumoso hoy","Ligera bruma",""
"Expect light smoke from limited fire activity on Shoe Fire","Hazy conditions with possible MODERATE","N-NW-NE winds will keep smoke out of this area","","Se espera humo ligero debido a actividad de fuego limitada en el Incendio Shoe.","Condiciones brumosas con posible calidad del aire MODERADA.","Los vientos norte-noroeste-noreste mantendrán el humo fuera de esta área.",""
"Mostly GOOD with occasional MODERATE late tonight","GOOD expected for most of the day","Possible smoke impacts with wind out of the N today","","Mayormente BUENO, ocasionalmente MODERADO tarde en la noche.","Se espera BUENO durante la mayor parte del día.","Posibles impactos de humo con el viento del norte hoy.",""
"Mostly GOOD with today","GOOD expected for most of the day","Continued GOOD today","","Mayormente BUENO hoy.","Se espera BUENO durante la mayor parte del día.","Continuado BUENO hoy",""
"GOOD AQI today","Only mid-morning possible smoke impacts, expect haze","Light smoke output from Shoe Fire will keep area in GOOD","","AQI BUENO hoy","Solo impactos de humo posibles a media mañana, espere neblina.","La ligera emisión de humo del incendio Shoe mantendrá el área en BUENO.",""
"MODERATE early this AM - GOOD the remainder of day","MODERATE early AM but mostly GOOD throughout today","Haze today","","MODERADA temprano esta mañana - BUENO el resto del día.","MODERADA temprano en la mañana pero mayormente BUENO durante el día de hoy.","Neblina hoy",""
"Continued GOOD conditions most of the day ","Light haze today","GOOD expected again today","","Condiciones BUENAS continuas durante la mayor parte del día.","Ligera neblina hoy.","Se espera BUENO nuevamente hoy.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible neblina ligera","Continúa el AQI BUENO",""
"MODERATE today with possible Rx burn in area","MODERATE to GOOD based on local planned Rx burn","Light haze","","MODERADA hoy con posible quema Rx en el área.","MODERADA a BUENO basado en la quema controlada local planeada.","Ligera neblina",""
"Mostly GOOD with today","GOOD expected for most of the day","Continued GOOD today","","Mayormente BUENO hoy.","Se espera BUENO durante la mayor parte del día.","Continuado BUENO hoy",""
"Continued GOOD conditions most of the day ","Light haze today","GOOD expected again today","","Condiciones BUENAS continuas durante la mayor parte del día.","Ligera bruma hoy.","Se espera BUENO nuevamente hoy.",""
"MODERATE early this AM - GOOD the remainder of day","MODERATE early AM but mostly GOOD throughout today","Haze today","","MODERADO temprano esta mañana - BUENO el resto del día.","MODERADO temprano en la mañana pero mayormente BUENO durante el día de hoy.","Bruma hoy",""
"GOOD AQI today","Only mid-morning possible smoke impacts, expect haze","Light smoke output from Shoe Fire will keep area in GOOD","","AQI BUENO hoy","Solo impactos de humo posibles a media mañana, espere bruma.","La ligera emisión de humo del incendio Shoe mantendrá el área en BUENO.",""
"MODERATE today with possible Rx burn in area","MODERATE to GOOD based on local planned Rx burn","Light haze","","MODERADO hoy con posible quema prescrita en el área.","MODERADO a BUENO basado en la quema controlada local planeada.","Ligera bruma",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible bruma ligera","Continúa el AQI BUENO",""
"N-NE winds will move any smoke away from this community","N-NE winds will keep area clear today","Light smoke output from Shoe Fire will keep area in GOOD","","Los vientos N-NE moverán cualquier humo lejos de esta comunidad.","Los vientos N-NE mantendrán el área despejada hoy.","La ligera emisión de humo del incendio Shoe mantendrá la zona en BUENO.",""
"Just haze today for this city","Expect GOOD AQI today","Haze today","","Solo neblina hoy para esta ciudad.","Espere un AQI BUENO hoy.","Neblina hoy",""
"GOOD today with no Rx burns planned in the area","Expect GOOD today","Light haze","","BUENO hoy sin quemas controladas planificadas en el área.","Espere BUENO hoy.","Ligera neblina",""
"Mostly GOOD with today with some MODERATE","GOOD expected for most of the day","Continued GOOD today","","Mayormente BUENO hoy con algo de MODERADA.","BUENO esperado durante la mayor parte del día.","Continuamente BUENO hoy",""
"Continued GOOD conditions most of the day ","Light haze today","GOOD expected again today","","Condiciones BUENAS continuadas durante la mayor parte del día.","Ligera neblina hoy.","Se espera BUENO nuevamente hoy.",""
"Conditions should stay in GOOD AQI today","Light haze possible","GOOD AQI continues","","Las condiciones deberían mantenerse en un AQI BUENO hoy.","Posible neblina ligera","La calidad del aire BUENO continúa.",""
