"fire_statement_json","smoke_statement_json","special_statement_json","fire_statement_json_es","smoke_statement_json_es","special_statement_json_es"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to increase."",""discussion"":""Operations to clean out the interior of the Happy Fire footprint for long-term forest health.  Remaining interior unburned vegetation will be ignited starting late morning, if fire effects look good, ignition will continue. Weather is forecast to be slightly cooler than normal and low winds with incoming light to moderate precipitation starting on Saturday.""}","{""statement"":"""",""discussion"":""There is expected to be a noticeable increase in smoke production from the Happy Fire today due to firing operations.  Crews will be working to clean up the interior of the perimeter for long-term forest health. Some areas burned by this fire along with the 2015 Rough Fire. Other areas have heavy fuels and have not been burned in several decades.  Smoke production will be heaviest in these previously unburned areas.  Expect thickest smoke along the Sierra crest this afternoon. Residual smoke will flow down drainage in the evening hours. Smoke will be present on the east side (Owen's Valley) in low concentrations. Western mountain communities such as Dunlap, Yokuts Valley, Hume Lake, Pinehurst expect MODERATE to USG.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> aumente."",""discussion"":""Operaciones para limpiar el interior de la huella del Incendio Happy por la salud del bosque a largo plazo. La vegetación interior restante no quemada, se encenderá comenzando a última hora de la mañana, si los efectos del fuego se ven bien, la ignición continuará. Se pronostica que las condiciones del tiempo serán un poco más frescas de lo normal y los vientos leves con la llegada de precipitación ligera a moderada a partir del sábado.""}","{""statement"":"""",""discussion"":""Se espera un aumento notable en la producción de humo del Incendio Happy hoy debido a las operaciones de quema. Los equipos trabajarán para limpiar el interior del perímetro por la salud del bosque a largo plazo. Algunas áreas quemadas por este incendio están juntas con el Incendio Rough de 2015. Otras áreas tienen combustibles pesados y no se han quemado en varias décadas. La producción de humo será más intensa en estas áreas previamente no quemadas. Se espera humo más denso a lo largo de la cresta de Sierra esta tarde. El humo residual fluirá por el drenaje al anochecer. Habrá presencia de humo en el lado este (Valle de Owen) en bajas concentraciones. Las comunidades montañosas del oeste como Dunlap, Valle de Yokuts, Lago Hume, Pinehurst esperan una calidad de aire MODERADA a IGS.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to increase."",""discussion"":""Operations to clean out the interior of the Happy Fire footprint for long-term forest health.  Remaining interior unburned vegetation will be ignited starting late morning, if fire effects look good, ignition will continue. Weather is forecast to be slightly cooler than normal and low winds with incoming light to moderate precipitation starting on Saturday.""}","{""statement"":"""",""discussion"":""There is expected to be a noticeable increase in smoke production from the Happy Fire today due to firing operations.  Crews will be working to clean up the interior of the perimeter for long-term forest health. Some areas burned by this fire along with the 2015 Rough Fire. Other areas have heavy fuels and have not been burned in several decades.  Smoke production will be heaviest in these previously unburned areas.  Expect thickest smoke along the Sierra crest this afternoon. Residual smoke will flow down drainage in the evening hours. Smoke will be present on the east side (Owen's Valley) in low concentrations. Western mountain communities such as Dunlap, Yokuts Valley, Hume Lake, Pinehurst expect MODERATE to USG.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> aumente."",""discussion"":""Operaciones para limpiar el interior de la huella del Incendio Feliz para la salud forestal a largo plazo. La vegetación interior no quemada restante se encenderá comenzando a última hora de la mañana, si los efectos del fuego se ven buenos, la ignición continuará. Se pronostica que el clima será un poco más fresco de lo normal y vientos bajos con la llegada de precipitaciones ligeras a moderadas a partir del sábado.""}","{""statement"":"""",""discussion"":""Se espera un aumento notable en la producción de humo del Incendio Happy hoy debido a las operaciones de quema. Los equipos trabajarán para limpiar el interior del perímetro para la salud forestal a largo plazo. Algunas áreas quemadas por este incendio junto con el Incendio Rough de 2015. Otras áreas tienen combustibles pesados y no se han quemado en varias décadas. La producción de humo será más intensa en estas áreas previamente no quemadas. Espere el humo más denso a lo largo de la cresta de Sierra esta tarde. El humo residual fluirá por el drenaje en las horas de la noche. Habrá presencia de humo en el lado este (Valle de Owen) en bajas concentraciones. Las comunidades montañosas del oeste como Dunlap, Valle de Yokuts, Lago Hume, Pinehurst esperan calidad de aire MODERADA a IGS.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is currently estimated at 12488 acres and is 76% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is expected to remain low."",""discussion"":""The fire is still within its original footprint and has not grown in size. Some pockets of smoke from heavy fuels may still be visible but no impacts to air quality.""}","{""statement"":"""",""discussion"":""GOOD air quality to continue in the forecast area with very small pockets of heat and light smoke in the fire footprint.\nWarmer and dryer today with temperatures near 80 with clouds increasing in the late evening. \nThe weather will change as winds are coming out of the SE 7-8 mph and will have possible gusts 15-18 throughout the day.\nForecasted showers and thunderstorms expected throughout the weekend.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> actualmente tiene 12488 acres y está contenido en un 76%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> se mantenga baja."",""discussion"":""El incendio aún se encuentra dentro de su perímetro original y no ha aumentado de tamaño. Algunos bolsillos de humo de combustibles pesados aún pueden ser visibles, pero no hay impactos en la calidad del aire.""}","{""statement"":"""",""discussion"":""La calidad del aire BUENA continuará en el área de pronóstico con pequeños focos de calor y ligero humo en la huella del incendio.\nHoy será más cálido y seco con temperaturas cercanas a los 80 grados y nubes que aumentarán al final de la tarde.\nLas condiciones del tiempo cambiarán ya que los vientos soplarán desde el sureste a 7-8 mph y podrían tener ráfagas de 15-18 mph durante todo el día.\nSe esperan lluvias y tormentas eléctricas pronosticadas durante todo el fin de semana.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is currently estimated at 12488 acres and is 76% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is expected to remain low."",""discussion"":""The fire is still within its original footprint and has not grown in size. Some pockets of smoke from heavy fuels may still be visible but no impacts to air quality.""}","{""statement"":"""",""discussion"":""GOOD air quality to continue in the forecast area with very small pockets of heat and light smoke in the fire footprint.\nWarmer and dryer today with temperatures near 80 with clouds increasing in the late evening. \nThe weather will change as winds are coming out of the SE 7-8 mph and will have possible gusts 15-18 throughout the day.\nForecasted showers and thunderstorms expected throughout the weekend.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> actualmente tiene 12488 acres y está contenido en un 76%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> se mantenga baja."",""discussion"":""El incendio aún se encuentra dentro de su perímetro original y no ha aumentado de tamaño. Algunos bolsillos de humo de combustibles pesados aún pueden ser visibles, pero no hay impactos en la calidad del aire.""}","{""statement"":"""",""discussion"":""La calidad del aire BUENO continuará en el área de pronóstico con pequeños focos de calor y ligero humo en la huella del incendio.\nHoy será más cálido y seco con temperaturas cercanas a los 80 y nubes que aumentarán al final de la tarde.\nEl clima cambiará ya que los vientos soplarán desde el SE a 7-8 mph y podrían tener ráfagas de 15-18 mph durante todo el día.\nSe esperan lluvias y tormentas eléctricas pronosticadas durante todo el fin de semana.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to remain active."",""discussion"":""Operations will continue clean out the interior of the Happy Fire footprint for long-term forest health.  Remaining interior unburned vegetation will be ignited starting late morning, if fire effects look good, ignition will continue. Weather is forecast to be slightly cooler than normal and low winds with incoming light to moderate precipitation starting on Saturday.""}","{""statement"":"""",""discussion"":""Lingering smoke this morning due to yesterday's firing operations.  An inversion is holding the smoke around the area.  Expect conditions to improve once atmospheric mixing increases in the late morning. Smoke will return tonight in similar areas as last night. Conditions are forecast to worsen in the Owen's Valley, with highest concentrations south of Bishop.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> continúe."",""discussion"":""Las operaciones continuarán limpiando el interior de la zona afectada por el incendio Happy por la salud del bosque a largo plazo. La vegetación interior que no se ha quemado será encendida comenzando a finales de la mañana, si los efectos del fuego se ven bien, la ignición continuará. Se pronostica que las condiciones del tiempo serán un poco más frescas de lo normal y con vientos leves, con la llegada de precipitación ligera a moderada a partir del sábado.""}","{""statement"":"""",""discussion"":""Humo persistente esta mañana debido a las operaciones de quema de ayer. Una inversión está reteniendo el humo en el área. Se espera que las condiciones mejoren una vez que la mezcla atmosférica aumente a finales de la mañana. El humo volverá esta noche en áreas similares a las de la noche anterior. Se pronostica que las condiciones empeorarán en el Valle de Owen, con las concentraciones más altas al sur de Bishop.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to remain active."",""discussion"":""Operations will continue clean out the interior of the Happy Fire footprint for long-term forest health.  Remaining interior unburned vegetation will be ignited starting late morning, if fire effects look good, ignition will continue. Weather is forecast to be slightly cooler than normal and low winds with incoming light to moderate precipitation starting on Saturday.""}","{""statement"":"""",""discussion"":""Lingering smoke this morning due to yesterday's firing operations.  An inversion is holding the smoke around the area.  Expect conditions to improve once atmospheric mixing increases in the late morning. Smoke will return tonight in similar areas as last night. Conditions are forecast to worsen in the Owen's Valley, with highest concentrations south of Bishop.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> continúe."",""discussion"":""Las operaciones continuarán limpiando el interior de la zona afectada por el incendio Happy para la salud a largo plazo del bosque. La vegetación interior que no se ha quemado será encendida comenzando a finales de la mañana, si los efectos del fuego se ven buenos, la ignición continuará. Se pronostica que el clima será un poco más fresco de lo normal y con vientos bajos, con la llegada de precipitaciones ligeras a moderadas a partir del sábado.""}","{""statement"":"""",""discussion"":""Humo persistente esta mañana debido a las operaciones de quema de ayer. Una inversión está reteniendo el humo en el área. Se espera que las condiciones mejoren una vez que la mezcla atmosférica aumente a finales de la mañana. El humo volverá esta noche en áreas similares a las de la noche anterior. Se pronostica que las condiciones empeorarán en el Valle de Owen, con las concentraciones más altas al sur de Bishop.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is currently estimated at 12488 acres and is 87% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is expected to remain low."",""discussion"":""The fire is still within its original footprint and has not grown in size.""}","{""statement"":"""",""discussion"":""GOOD air quality to continue in the fire area on the refuge. Rain today with southwest winds.\nNo smoke in the area for the weekend. Thunderstorms and rain to continue in the forecast area.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> actualmente tiene 12488 acres y está contenido en un 87%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> se mantenga baja."",""discussion"":""El incendio aún se encuentra dentro de su huella original y no ha aumentado de tamaño.""}","{""statement"":"""",""discussion"":""La calidad del aire BUENA continuará en el área del incendio en el refugio. Lluvia hoy con vientos del suroeste. No hay humo en el área para el fin de semana. Tormentas eléctricas y lluvia continuarán en el área de pronóstico.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is currently estimated at 12488 acres and is 87% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is expected to remain low."",""discussion"":""The fire is still within its original footprint and has not grown in size.""}","{""statement"":"""",""discussion"":""GOOD air quality to continue in the fire area on the refuge. Rain today with southwest winds.\nNo smoke in the area for the weekend. Thunderstorms and rain to continue in the forecast area.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> actualmente tiene 12488 acres y está contenido en un 87%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> se mantenga baja."",""discussion"":""El incendio aún se encuentra dentro de su huella original y no ha aumentado de tamaño.""}","{""statement"":"""",""discussion"":""La calidad del aire BUENO continuará en el área del incendio en el refugio. Lluvia hoy con vientos del suroeste. No hay humo en el área para el fin de semana. Tormentas eléctricas y lluvia continuarán en el área de pronóstico.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is currently estimated at 12488 acres and is 87% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is expected to remain low."",""discussion"":""The fire is still within its original footprint and has not grown in size.""}","{""statement"":"""",""discussion"":""GOOD air quality to continue in the fire area on the refuge. Rain today with southwest winds.\nNo smoke in the area for the weekend. Thunderstorms and rain to continue in the forecast area.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> actualmente tiene 12488 acres y está contenido en un 87%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> se mantenga baja."",""discussion"":""El incendio aún se encuentra dentro de su huella original y no ha aumentado de tamaño.""}","{""statement"":"""",""discussion"":""La calidad del aire BUENA continuará en el área del incendio en el refugio. Lluvia hoy con vientos del suroeste. No hay humo en el área para el fin de semana. Tormentas eléctricas y lluvia continuarán en el área de pronóstico.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is currently estimated at 12488 acres and is 87% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is expected to remain low."",""discussion"":""The fire is still within its original footprint and has not grown in size.\nThis will be the final forecast for the RUSH fire.""}","{""statement"":"""",""discussion"":""GOOD air quality to continue in the fire area on the refuge. Rain today with southwest winds.\nNo smoke in the area for the weekend. Thunderstorms and rain to continue in the forecast area.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> actualmente tiene 12488 acres y está contenido en un 87%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> se mantenga baja."",""discussion"":""El incendio todavía está dentro de su huella original y no ha aumentado de tamaño.\nEsta será la última previsión para el incendio RUSH.""}","{""statement"":"""",""discussion"":""La calidad del aire BUENO continuará en el área del incendio en el refugio. Lluvia hoy con vientos del suroeste.\nNo hay humo en el área para el fin de semana. Tormentas eléctricas y lluvia continuarán en el área de pronóstico.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""The <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is currently estimated at 12488 acres and is 87% contained. Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> fire is expected to remain low."",""discussion"":""The fire is still within its original footprint and has not grown in size.\nThis will be the final forecast for the RUSH fire.""}","{""statement"":"""",""discussion"":""GOOD air quality to continue in the fire area on the refuge. Rain today with southwest winds.\nNo smoke in the area for the weekend. Thunderstorms and rain to continue in the forecast area.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""El incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> actualmente tiene 12488 acres y está contenido en un 87%. Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/okwmr-rush-fire' target='_blank'>Rush Fire</a> se mantenga baja."",""discussion"":""El incendio aún se encuentra dentro de su perímetro original y no ha aumentado de tamaño.\nEsta será la última previsión para el incendio RUSH.""}","{""statement"":"""",""discussion"":""La calidad del aire BUENO continuará en el área del incendio en el refugio. Lluvia hoy con vientos del suroeste. No habrá humo en el área durante el fin de semana. Tormentas eléctricas y lluvia continuarán en el área de pronóstico.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Lingering smoke this morning due to yesterday's firing operations.  An inversion is holding the smoke around the area.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza se han pausado en la zona afectada por el incendio Happy debido al mal tiempo. Las áreas tratadas continuarán humeando y produciendo humo durante varios días más.""}","{""statement"":"""",""discussion"":""Humo persistente esta mañana debido a las operaciones de quema de ayer. Una inversión está reteniendo el humo en el área.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Smoke has cleared out with the weather change. As the vegetation dries out, smoldering may increase and produce more smoke.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza se han pausado en la zona afectada por el incendio Happy debido al mal tiempo. Las áreas tratadas continuarán humeando y produciendo humo durante varios días más.""}","{""statement"":"""",""discussion"":""El humo se ha disipado con el cambio de clima. A medida que la vegetación se seca, puede aumentar el rescoldo y producir más humo.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Smoke has cleared out with the weather change. As the vegetation dries out, smoldering may increase and produce more smoke.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza se han pausado en la zona afectada por el incendio Happy debido al mal tiempo. Las áreas tratadas continuarán en combustión lenta y produciendo humo durante varios días más.""}","{""statement"":"""",""discussion"":""El humo se ha disipado con el cambio en las condiciones del tiempo. A medida que la vegetación se seca, puede aumentar la combustión lenta y producir más humo.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Smoke has cleared out with the weather change. As the vegetation dries out, smoldering may increase and produce more smoke. Ignitions may start again late week if the conditions are appropriate. Smoke will be minimal till then.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza en la zona afectada por el incendio Happy se han pausado debido al mal tiempo. Las áreas tratadas continuarán humeando y produciendo humo durante varios días más.""}","{""statement"":"""",""discussion"":""El humo se ha disipado con el cambio de clima. A medida que la vegetación se seca, puede aumentar el rescoldo y producir más humo. Las igniciones pueden comenzar de nuevo a finales de semana si las condiciones son adecuadas. El humo será mínimo hasta entonces.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Smoke has cleared out with the weather change. As the vegetation dries out, smoldering may increase and produce more smoke. Ignitions may start again late week if the conditions are appropriate. Smoke will be minimal till then.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza en la zona afectada por el incendio Happy se han pausado debido al mal tiempo. Las áreas tratadas continuarán combustión lenta y produciendo humo durante varios días más.""}","{""statement"":"""",""discussion"":""El humo se ha disipado con el cambio en las condiciones del tiempo. A medida que la vegetación se seca, puede aumentar la combustión lenta y producir más humo. Las igniciones pueden comenzar de nuevo a finales de semana si las condiciones son adecuadas. El humo será mínimo hasta entonces.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Smoke has cleared out with the weather change. As the vegetation dries out, smoldering may increase and produce more smoke. Ignitions may start again late week if the conditions are appropriate. Smoke will be minimal till then.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza en la zona afectada por el incendio Happy se han pausado debido al mal tiempo. Las áreas tratadas continuarán combustión lenta y produciendo humo durante varios días más.""}","{""statement"":"""",""discussion"":""El humo se ha disipado con el cambio en las condiciones del tiempo. A medida que la vegetación se seca, puede aumentar la combustión lenta y producir más humo. Las igniciones pueden comenzar de nuevo a finales de semana si las condiciones son adecuadas. El humo será mínimo hasta entonces.\n""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Smoke has cleared out with the weather change. As the vegetation dries out, smoldering may increase and produce more smoke. Ignitions may start again late week if the conditions are appropriate. Smoke will be minimal till then.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza se han pausado en la zona afectada por el incendio Happy debido al mal tiempo. Las áreas tratadas continuarán humeando y producirán humo durante varios días más.""}","{""statement"":"""",""discussion"":""El humo se ha disipado con el cambio de clima. A medida que la vegetación se seca, puede aumentar el rescoldo y producir más humo. Las igniciones pueden comenzar de nuevo a finales de semana si las condiciones son apropiadas. El humo será mínimo hasta entonces.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Smoke has cleared out with the weather change. As the vegetation dries out, smoldering may increase and produce more smoke. Ignitions may start again late week if the conditions are appropriate. Smoke will be minimal till then.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza en la zona afectada por el incendio Happy se han pausado debido al mal tiempo. Las áreas tratadas continuarán humeando y produciendo humo durante varios días más.""}","{""statement"":"""",""discussion"":""El humo se ha disipado con el cambio de clima. A medida que la vegetación se seca, puede aumentar el rescoldo y producir más humo. Las igniciones pueden comenzar de nuevo a finales de semana si las condiciones son apropiadas. El humo será mínimo hasta entonces.""}","{""alerts"":"""",""discussion"":""""}"
"{""statement"":""Fire activity for the <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> fire is expected to decrease."",""discussion"":""Cleanout operations have paused on the Happy Fire footprint due to inclement weather. Treated areas will smolder and produce smoke for several more days.""}","{""statement"":"""",""discussion"":""Smoke has cleared out with the weather change. As the vegetation dries out, smoldering may increase and produce more smoke. Ignitions are planned for late week if the conditions are appropriate. Smoke will be minimal till then.""}","{""alerts"":"""",""discussion"":""""}","{""statement"":""Se espera que la actividad de fuego para el incendio <a href='https://inciweb.wildfire.gov/incident-information/casqf-happy' target='_blank'>Happy Fire</a> disminuya."",""discussion"":""Las operaciones de limpieza en la zona afectada por el incendio Happy se han pausado debido al mal tiempo. Las áreas tratadas continuarán en combustión lenta y producirán humo durante varios días más.""}","{""statement"":"""",""discussion"":""El humo se ha disipado con el cambio en las condiciones del tiempo. A medida que la vegetación se seca, puede aumentar la combustión lenta y producir más humo. Se planean igniciones para finales de semana si las condiciones son apropiadas. El humo será mínimo hasta entonces.""}","{""alerts"":"""",""discussion"":""""}"
